"","","Home","","","","Away","","","","Total","","","","","","",""
"","","P","W","D","L","P","W","D","L","P","W","D","L","F","A","+/-","Pts"
"C","Leicester City","19","12","6","1","19","11","6","2","38","23","12","3","68","36","+32","81"
"2","Arsenal","19","12","4","3","19","8","7","4","38","20","11","7","65","36","+29","71"
"3","Tottenham Hotspur","19","10","6","3","19","9","7","3","38","19","13","6","69","35","+34","70"
"4","Manchester City","19","12","2","5","19","7","7","5","38","19","9","10","71","41","+30","66"
"5","Manchester United","19","12","5","2","19","7","4","8","38","19","9","10","49","35","+14","66"
"6","Southampton","19","11","3","5","19","7","6","6","38","18","9","11","59","41","+18","63"
"7","West Ham United","19","9","7","3","19","7","7","5","38","16","14","8","65","51","+14","62"
"8","Liverpool","19","8","8","3","19","8","4","7","38","16","12","10","63","50","+13","60"
"9","Stoke City","19","8","4","7","19","6","5","8","38","14","9","15","41","55","-14","51"
"10","Chelsea","19","5","9","5","19","7","5","7","38","12","14","12","59","53","+6","50"
"11","Everton","19","6","5","8","19","5","9","5","38","11","14","13","59","55","+4","47"
"12","Swansea City","19","8","6","5","19","4","5","10","38","12","11","15","42","52","-10","47"
"13","Watford","19","6","6","7","19","6","3","10","38","12","9","17","40","50","-10","45"
"14","West Bromwich Albion","19","6","5","8","19","4","8","7","38","10","13","15","34","48","-14","43"
"15","Crystal Palace","19","6","3","10","19","5","6","8","38","11","9","18","39","51","-12","42"
"16","AFC Bournemouth","19","5","5","9","19","6","4","9","38","11","9","18","45","67","-22","42"
"17","Sunderland","19","6","6","7","19","3","6","10","38","9","12","17","48","62","-14","39"
"R","Newcastle United","19","7","7","5","19","2","3","14","38","9","10","19","44","65","-21","37"
"R","Norwich City","19","6","5","8","19","3","2","14","38","9","7","22","39","67","-28","34"
"R","Aston Villa","19","2","5","12","19","1","3","15","38","3","8","27","27","76","-49","17"
