"","","Home","","","","Away","","","","Total","","","","","","",""
"","","P","W","D","L","P","W","D","L","P","W","D","L","F","A","+/-","Pts"
"C","Manchester United","19","16","0","3","19","12","5","2","38","28","5","5","86","43","+43","89"
"2","Manchester City","19","14","3","2","19","9","6","4","38","23","9","6","66","34","+32","78"
"3","Chelsea","19","12","5","2","19","10","4","5","38","22","9","7","75","39","+36","75"
"4","Arsenal","19","11","5","3","19","10","5","4","38","21","10","7","72","37","+35","73"
"5","Tottenham Hotspur","19","11","5","3","19","10","4","5","38","21","9","8","66","46","+20","72"
"6","Everton","19","12","6","1","19","4","9","6","38","16","15","7","55","40","+15","63"
"7","Liverpool","19","9","6","4","19","7","7","5","38","16","13","9","71","43","+28","61"
"8","West Bromwich Albion","19","9","4","6","19","5","3","11","38","14","7","17","53","57","-4","49"
"9","Swansea City","19","6","8","5","19","5","5","9","38","11","13","14","47","51","-4","46"
"10","West Ham United","19","9","6","4","19","3","4","12","38","12","10","16","45","53","-8","46"
"11","Norwich City","19","8","7","4","19","2","7","10","38","10","14","14","41","58","-17","44"
"12","Fulham","19","7","3","9","19","4","7","8","38","11","10","17","50","60","-10","43"
"13","Stoke City","19","7","7","5","19","2","8","9","38","9","15","14","34","45","-11","42"
"14","Southampton","19","6","7","6","19","3","7","9","38","9","14","15","49","60","-11","41"
"15","Aston Villa","19","5","5","9","19","5","6","8","38","10","11","17","47","69","-22","41"
"16","Newcastle United","19","9","1","9","19","2","7","10","38","11","8","19","45","68","-23","41"
"17","Sunderland","19","5","8","6","19","4","4","11","38","9","12","17","41","54","-13","39"
"R","Wigan Athletic","19","4","6","9","19","5","3","11","38","9","9","20","47","73","-26","36"
"R","Reading","19","4","8","7","19","2","2","15","38","6","10","22","43","73","-30","28"
"R","Queens Park Rangers","19","2","8","9","19","2","5","12","38","4","13","21","30","60","-30","25"
