"","","Home","","","","Away","","","","Total","","","","","","",""
"","","P","W","D","L","P","W","D","L","P","W","D","L","F","A","+/-","Pts"
"C","Manchester City","19","16","2","1","19","16","2","1","38","32","4","2","106","27","+79","100"
"2","Manchester United","19","15","2","2","19","10","4","5","38","25","6","7","68","28","+40","81"
"3","Tottenham Hotspur","19","13","4","2","19","10","4","5","38","23","8","7","74","36","+38","77"
"4","Liverpool","19","12","7","0","19","9","5","5","38","21","12","5","84","38","+46","75"
"5","Chelsea","19","11","4","4","19","10","3","6","38","21","7","10","62","38","+24","70"
"6","Arsenal","19","15","2","2","19","4","4","11","38","19","6","13","74","51","+23","63"
"7","Burnley","19","7","5","7","19","7","7","5","38","14","12","12","36","39","-3","54"
"8","Everton","19","10","4","5","19","3","6","10","38","13","10","15","44","58","-14","49"
"9","Leicester City","19","7","6","6","19","5","5","9","38","12","11","15","56","60","-4","47"
"10","Newcastle United","19","8","4","7","19","4","4","11","38","12","8","18","39","47","-8","44"
"11","Crystal Palace","19","7","5","7","19","4","6","9","38","11","11","16","45","55","-10","44"
"12","AFC Bournemouth","19","7","5","7","19","4","6","9","38","11","11","16","45","61","-16","44"
"13","West Ham United","19","7","6","6","19","3","6","10","38","10","12","16","48","68","-20","42"
"14","Watford","19","7","6","6","19","4","2","13","38","11","8","19","44","64","-20","41"
"15","Brighton & Hove Albion","19","7","8","4","19","2","5","12","38","9","13","16","34","54","-20","40"
"16","Huddersfield Town","19","6","5","8","19","3","5","11","38","9","10","19","28","58","-30","37"
"17","Southampton","19","4","7","8","19","3","8","8","38","7","15","16","37","56","-19","36"
"R","Swansea City","19","6","3","10","19","2","6","11","38","8","9","21","28","56","-28","33"
"R","Stoke City","19","5","5","9","19","2","7","10","38","7","12","19","35","68","-33","33"
"R","West Bromwich Albion","19","3","9","7","19","3","4","12","38","6","13","19","31","56","-25","31"
