"","","Home","","","","Away","","","","Total","","","","","","",""
"","","P","W","D","L","P","W","D","L","P","W","D","L","F","A","+/-","Pts"
"C","Manchester City","19","18","0","1","19","14","2","3","38","32","2","4","95","23","+72","98"
"2","Liverpool","19","17","2","0","19","13","5","1","38","30","7","1","89","22","+67","97"
"3","Chelsea","19","12","6","1","19","9","3","7","38","21","9","8","63","39","+24","72"
"4","Tottenham Hotspur","19","12","2","5","19","11","0","8","38","23","2","13","67","39","+28","71"
"5","Arsenal","19","14","3","2","19","7","4","8","38","21","7","10","73","51","+22","70"
"6","Manchester United","19","10","6","3","19","9","3","7","38","19","9","10","65","54","+11","66"
"7","Wolverhampton Wanderers","19","10","4","5","19","6","5","8","38","16","9","13","47","46","+1","57"
"8","Everton","19","10","4","5","19","5","5","9","38","15","9","14","54","46","+8","54"
"9","Leicester City","19","8","3","8","19","7","4","8","38","15","7","16","51","48","+3","52"
"10","West Ham United","19","9","4","6","19","6","3","10","38","15","7","16","52","55","-3","52"
"11","Watford","19","8","3","8","19","6","5","8","38","14","8","16","52","59","-7","50"
"12","Crystal Palace","19","5","5","9","19","9","2","8","38","14","7","17","51","53","-2","49"
"13","Newcastle United","19","8","1","10","19","4","8","7","38","12","9","17","42","48","-6","45"
"14","AFC Bournemouth","19","8","5","6","19","5","1","13","38","13","6","19","56","70","-14","45"
"15","Burnley","19","7","2","10","19","4","5","10","38","11","7","20","45","68","-23","40"
"16","Southampton","19","5","8","6","19","4","4","11","38","9","12","17","45","65","-20","39"
"17","Brighton & Hove Albion","19","6","5","8","19","3","4","12","38","9","9","20","35","60","-25","36"
"R","Cardiff City","19","6","2","11","19","4","2","13","38","10","4","24","34","69","-35","34"
"R","Fulham","19","6","3","10","19","1","2","16","38","7","5","26","34","81","-47","26"
"R","Huddersfield Town","19","2","3","14","19","1","4","14","38","3","7","28","22","76","-54","16"
