"","","Home","","","","Away","","","","Total","","","","","","",""
"","","P","W","D","L","P","W","D","L","P","W","D","L","F","A","+/-","Pts"
"C","Liverpool","19","18","1","0","19","14","2","3","38","32","3","3","85","33","+52","99"
"2","Manchester City","19","15","2","2","19","11","1","7","38","26","3","9","102","35","+67","81"
"3","Manchester United","19","10","7","2","19","8","5","6","38","18","12","8","66","36","+30","66"
"4","Chelsea","19","11","3","5","19","9","3","7","38","20","6","12","69","54","+15","66"
"5","Leicester City","19","11","4","4","19","7","4","8","38","18","8","12","67","41","+26","62"
"6","Tottenham Hotspur","19","12","3","4","19","4","8","7","38","16","11","11","61","47","+14","59"
"7","Wolverhampton Wanderers","19","8","7","4","19","7","7","5","38","15","14","9","51","40","+11","59"
"8","Arsenal","19","10","6","3","19","4","8","7","38","14","14","10","56","48","+8","56"
"9","Sheffield United","19","10","3","6","19","4","9","6","38","14","12","12","39","39","0","54"
"10","Burnley","19","8","4","7","19","7","5","7","38","15","9","14","43","50","-7","54"
"11","Southampton","19","6","3","10","19","9","4","6","38","15","7","16","51","60","-9","52"
"12","Everton","19","8","7","4","19","5","3","11","38","13","10","15","44","56","-12","49"
"13","Newcastle United","19","6","8","5","19","5","3","11","38","11","11","16","38","58","-20","44"
"14","Crystal Palace","19","6","5","8","19","5","5","9","38","11","10","17","31","50","-19","43"
"15","Brighton & Hove Albion","19","5","7","7","19","4","7","8","38","9","14","15","39","54","-15","41"
"16","West Ham United","19","6","4","9","19","4","5","10","38","10","9","19","49","62","-13","39"
"17","Aston Villa","19","7","3","9","19","2","5","12","38","9","8","21","41","67","-26","35"
"R","AFC Bournemouth","19","5","6","8","19","4","1","14","38","9","7","22","40","65","-25","34"
"R","Watford","19","6","6","7","19","2","4","13","38","8","10","20","36","64","-28","34"
"R","Norwich City","19","4","3","12","19","1","3","15","38","5","6","27","26","75","-49","21"
